time,Virginia,California,Florida,New York,Alaska,Texas,North Carolina,Michigan,Rhode Island,New Hampshire,New Jersey,Illinois,the District of Columbia,Georgia,Alabama,Arizona,Washington,Hawaii,Massachusetts,Arkansas,Colorado,Nevada,Tennessee,South Carolina,Maryland,Minnesota,Wisconsin,Nebraska,Utah,Oregon,Iowa,Vermont,Connecticut,Oklahoma,Kentucky,Missouri,Idaho,Ohio,Indiana,Wyoming,New Mexico,West Virginia,Kansas,South Dakota,Maine,Mississippi,Pennsylvania,North Dakota,Montana,Delaware,Louisiana
9/1/2015,235169.4228,415861.6153,183566.2766,279906.4906,268317.1593,165802.9377,161320.1295,128264.3415,232205.6256,226201.0393,300239.0037,163737.0508,484181.4015,152990.0811,133682.9612,203668.1187,277838.9386,513345.6099,340165.6151,124664.3378,287250.2618,211542.6083,150404.9385,153125.3619,272738.9528,195050.0886,160367.8013,141430.2533,243524.1488,263631.1402,134778.5099,229198.9225,238945.3763,119500.4836,113223.4789,133269.1828,186850.8441,123048.0672,122967.431,229533.6045,168965.6387,108319.8595,126344.3857,171164.3356,188336.0167,123473.0555,159981.4313,218191.5165,221662.685,234519.3468,165476.0018
10/1/2015,236071.9054,417098.9313,185302.8905,281823.3868,269707.0103,166991.0497,162128.8977,129036.4051,233560.6507,227571.5575,301904.8395,164680.1067,488126.7412,153997.5857,134086.0524,205362.4271,280398.1446,517456.0261,342425.4748,125500.2247,290136.6448,212975.3383,151397.7356,154023.0819,273570.8258,196079.0624,160996.7758,142289.943,245735.551,266752.7243,135467.7209,229700.5269,239366.5405,119820.9873,113763.6786,134045.0137,188050.9443,123676.3577,123406.3578,230764.3045,169453.0921,109129.6566,127150.8968,172157.7633,189484.5016,124295.0735,160511.4062,219057.642,223123.0993,235397.6849,166260.3796
11/1/2015,236848.9074,418131.6089,186977.3757,283389.8304,270767.4134,168037.3483,162829.6415,129674.7205,235070.5259,228680.8758,303367.2407,165578.0187,491980.4392,154897.305,134461.1404,207081.3052,283254.8864,520474.4394,344460.0922,126134.1231,292923.4096,214684.2142,152330.1811,154874.6346,274547.1173,197132.0965,161647.0722,142933.9325,247709.7159,269851.7556,136093.4241,229741.8708,239777.254,119819.9959,114114.5951,134628.2015,188967.0529,124056.8056,123638.8531,231605.7749,169646.6998,109763.8999,127758.6879,172829.3169,190488.2483,124571.0326,160779.3678,219714.7344,224498.8825,235907.774,167052.4427
12/1/2015,237635.0287,419073.5282,188532.0325,284659.3358,271212.4736,169122.4921,163630.5867,130362.2421,236604.5798,229676.0182,304624.4982,166449.2917,494928.5709,155802.7248,134999.7511,208695.9665,286433.6726,521867.1329,346586.5027,126765.427,295641.9631,216192.0052,153313.8687,155791.3185,275649.915,198381.5706,162577.9793,143736.1317,249737.1741,273260.5841,136970.6159,229737.1859,239963.6464,119471.277,114595.1802,135317.4383,189892.9847,124532.8577,124037.8611,231994.7243,169818.8581,110042.6662,128444.5939,173596.4981,191286.6775,124652.811,161135.6225,220833.4072,225811.8021,236449.7509,168134.2853
1/1/2016,238501.8922,422194.0776,189965.0578,285557.6205,271424.4839,170284.5112,164541.0031,131242.6395,238155.0983,230478.0547,305540.1777,167286.4897,496779.7243,156804.602,135603.7413,210678.5249,289916.6482,523511.3287,348846.2247,127451.176,298438.6353,217675.4399,154332.6923,156732.7596,276809.6886,199851.7986,163551.1097,144569.1673,251917.3025,276544.9106,137963.1915,229624.2269,240234.2746,119407.4334,115135.4771,136105.8515,191257.9679,125173.7388,124510.1891,232355.0177,169981.2859,110264.6379,129034.5983,174365.6031,191802.3807,124883.12,161620.1756,221527.8705,227071.2431,237453.7989,168965.5983
2/1/2016,239225.0157,427443.7221,191323.4265,286259.3836,271460.523,171496.6619,165465.4244,132174.1093,239374.5145,230968.7759,306145.0423,168189.2711,498406.4307,157789.5578,136278.5291,212544.7271,293204.7967,525677.0148,350895.1695,128117.6377,301131.2921,219028.9579,155328.8425,157584.622,277616.3518,201341.3492,164442.3949,145479.5228,253932.3618,279612.9788,138949.2208,229497.3405,240239.8108,119829.6043,115724.0865,136913.2084,192836.0417,125978.0661,125150.1811,232836.4769,170295.8795,110504.2515,129611.9303,175218.8334,192382.3487,125367.9222,162116.61,221982.256,228215.3998,238565.6893,169667.3658
3/1/2016,239548.6021,433407.0365,192572.0747,286577.0068,271080.9346,172390.5154,166031.498,132820.6498,240243.1009,231153.8877,306323.0022,168812.1499,499509.3944,158488.8694,136623.9717,214001.9355,295903.399,528455.518,352385.4347,128471.877,303768.6977,220219.8271,156011.0671,158105.0505,277746.2109,202598.5047,165011.0237,146091.9784,255521.7757,282216.6941,139396.942,228845.8957,240342.8468,120520.1569,115994.4034,137346.5728,194347.1558,126474.547,125544.2009,233192.9769,170552.9601,110547.2566,129843.3405,175661.413,192652.9301,125569.6214,162157.5728,221476.0596,228910.2805,239345.2564,169690.1361
4/1/2016,239574.3191,437912.7497,193894.6892,287144.6395,271223.1418,173241.0134,166491.3629,133481.0202,241070.7164,231525.2429,306656.054,169386.3641,500519.7075,159207.9424,136970.424,214879.9218,298262.6344,530473.4846,353935.5032,128652.3505,306572.9805,221649.9846,156594.6727,158532.1956,277702.5592,203778.0113,165628.4828,146581.2236,257068.7977,284890.8592,139499.8024,228461.9087,240268.0145,121211.2229,116194.971,137613.4244,195697.6423,126783.465,126014.9468,233261.0097,171018.4159,110357.2089,129970.9654,175998.6209,193142.0239,125639.4007,162150.408,220895.1503,229350.6434,240200.9185,169777.1371
5/1/2016,239603.6116,440901.581,195203.5305,288015.5109,271650.5981,174061.7688,166905.3764,134194.7521,242205.8159,232436.4183,307235.3098,169947.2444,501188.8039,159906.1035,137179.2569,215630.5083,300527.738,532203.8529,355658.615,128825.743,309333.4558,222962.8498,157124.9961,158918.9665,277887.7888,204701.2736,166258.7115,146970.9737,258819.3049,287754.2064,139365.629,228722.9029,240556.4134,121774.1193,116468.2907,137969.2013,197184.6028,126982.6896,126529.4985,233240.3466,171709.4797,110132.898,130080.897,176373.6028,193870.3383,125744.9,162346.5043,220386.5379,229656.2198,241081.6509,169834.6676
6/1/2016,239891.5888,443542.7342,196602.6954,289366.1131,272268.8995,175040.1092,167525.1146,135114.1425,243626.0135,233686.3258,308091.8964,170634.3966,501968.9228,160662.5177,137517.44,216487.6959,302832.2636,533790.9026,357474.4426,129161.557,311930.24,224423.377,157802.6589,159493.6521,278571.4097,205580.7652,166961.3577,147472.0832,260829.1016,290623.7408,139460.2203,229717.6403,240861.9968,122263.5979,117024.0532,138540.9729,198726.2319,127376.6508,127210.2053,233319.3834,172453.4206,110035.6219,130344.3114,176906.9929,195070.4195,126136.974,162846.4889,220275.6266,230072.468,242337.8229,170108.6548
7/1/2016,240171.4044,444508.7036,197830.8805,290476.432,272414.6685,175855.6576,168034.8613,135642.9506,244931.096,234592.8776,308727.0337,170944.6284,502705.7413,161079.6062,137582.4981,217397.0643,304808.3793,536264.3507,358807.1299,129325.7806,314084.7116,225420.7167,158462.0555,159952.1797,279191.1587,206127.41,167255.0099,147883.7568,262608.4259,293122.7218,139478.2554,230519.8468,240979.9321,122564.0024,117413.1708,139000.4392,199999.8432,127630.1485,127732.3015,233188.3757,172805.6371,109840.0701,130454.0098,177386.1438,196004.8752,126469.113,163237.116,219925.0814,230417.6266,243227.5933,169942.9699
